Task 1092 ( 1092/3072, 0/6 ) is bound to cpu[s] 0 on host e28n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1093 ( 1093/3072, 1/6 ) is bound to cpu[s] 4 on host e28n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1094 ( 1094/3072, 2/6 ) is bound to cpu[s] 8 on host e28n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1095 ( 1095/3072, 3/6 ) is bound to cpu[s] 88 on host e28n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1096 ( 1096/3072, 4/6 ) is bound to cpu[s] 92 on host e28n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1097 ( 1097/3072, 5/6 ) is bound to cpu[s] 96 on host e28n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1098 ( 1098/3072, 0/6 ) is bound to cpu[s] 0 on host e28n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1099 ( 1099/3072, 1/6 ) is bound to cpu[s] 4 on host e28n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 11 ( 11/3072, 5/6 ) is bound to cpu[s] 96 on host e07n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 110 ( 110/3072, 2/6 ) is bound to cpu[s] 8 on host e08n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1100 ( 1100/3072, 2/6 ) is bound to cpu[s] 8 on host e28n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1101 ( 1101/3072, 3/6 ) is bound to cpu[s] 88 on host e28n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1102 ( 1102/3072, 4/6 ) is bound to cpu[s] 92 on host e28n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1103 ( 1103/3072, 5/6 ) is bound to cpu[s] 96 on host e28n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1104 ( 1104/3072, 0/6 ) is bound to cpu[s] 0 on host e28n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1105 ( 1105/3072, 1/6 ) is bound to cpu[s] 4 on host e28n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1106 ( 1106/3072, 2/6 ) is bound to cpu[s] 8 on host e28n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1107 ( 1107/3072, 3/6 ) is bound to cpu[s] 88 on host e28n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1108 ( 1108/3072, 4/6 ) is bound to cpu[s] 92 on host e28n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1109 ( 1109/3072, 5/6 ) is bound to cpu[s] 96 on host e28n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 111 ( 111/3072, 3/6 ) is bound to cpu[s] 88 on host e08n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1110 ( 1110/3072, 0/6 ) is bound to cpu[s] 0 on host e28n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1111 ( 1111/3072, 1/6 ) is bound to cpu[s] 4 on host e28n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1112 ( 1112/3072, 2/6 ) is bound to cpu[s] 8 on host e28n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1113 ( 1113/3072, 3/6 ) is bound to cpu[s] 88 on host e28n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1114 ( 1114/3072, 4/6 ) is bound to cpu[s] 92 on host e28n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1115 ( 1115/3072, 5/6 ) is bound to cpu[s] 96 on host e28n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1116 ( 1116/3072, 0/6 ) is bound to cpu[s] 0 on host e28n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1117 ( 1117/3072, 1/6 ) is bound to cpu[s] 4 on host e28n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1118 ( 1118/3072, 2/6 ) is bound to cpu[s] 8 on host e28n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1119 ( 1119/3072, 3/6 ) is bound to cpu[s] 88 on host e28n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 112 ( 112/3072, 4/6 ) is bound to cpu[s] 92 on host e08n11 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
